"Text","Binary_Sentiment","Cont_Sentiment"
"ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film","0.0","-0.731045722961"
"juliette binoche's nurse comes as close as this film gets to an emotional heart juliette binoche's nurse comes as close as this film gets to an emotional heart juliette binoche's nurse comes as close as this film gets to an emotional heart    )","0.0","-2.06740117073"
"and a   popular , flirt   girl named jennifer ( claire forlani )","1.0","2.73477888107"
"thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters   it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo classic drama , life is beautiful thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters   it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo classic drama , life is beautiful thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters   it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo classic drama , life is beautiful through a central cast of father , mother , and son , benigni demonstrates the wonderful , undying love that a family shares in the best of times and the worst of times life   is   beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire life   is   beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire life   is   beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire although prior to this turning point benigni plays guido with a sort of goofy charm , he relaxes the role to ensure his son's happiness benigni's performance is truly a well rounded one , and certainly one of the more fluid turns all year","1.0","2.50807952881"
"living in 1930's italy , he lives a carefree life of good fortune   it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi ) living in 1930's italy , he lives a carefree life of good fortune   it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi ) living in 1930's italy , he lives a carefree life of good fortune   it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi )","0.0","-0.665690660477"
"although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead   the two have a child named joshua ( giorgio cantarini ) although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead   the two have a child named joshua ( giorgio cantarini ) although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead   the two have a child named joshua ( giorgio cantarini )","1.0","0.367606163025"
"working in the motion picture industry must be a constant source of frustration for a front line african american actress like jada pinkett smith","1.0","8.64395713806"
"the film offers a few funny ( albeit juvenile ) moments and the on screen relationship between pinkett smith's woo and tommy davidson's tim is appealing on those rare occasions when the two aren't forced to play it dumb for the sake of an endless barrage of cheap gags","0.0","-0.420827388763"
"guido , dora , and their 5 year old son , giosue ?","1.0","7.64849376678"
"( giorgio cantarini ) are a happy family guido , dora , and their 5 year old son , giosue ?","0.0","-0.0451483726501"
