"Text","Binary_Sentiment","Cont_Sentiment"
"ralph fiennes is the title character , an amnesiac burn victim whose gradual return to memory , and particularly the memory of love , is the ostensible focus of the film","1.0","4.70134019852"
"juliette binoche's nurse comes as close as this film gets to an emotional heart    )","1.0","44.2587585449"
"and a   popular , flirt   girl named jennifer ( claire forlani )","0.0","-0.54469037056"
"thematically in cinema , love for family has been used frequently and emphatically to highlight more abstract aspects of characters   it is rare , however , for it to develop as outstandingly as it does in roberto benigni's neo classic drama , life is beautiful through a central cast of father , mother , and son , benigni demonstrates the wonderful , undying love that a family shares in the best of times and the worst of times life   is   beautiful for guido orefice ( roberto benigni , directing himself here for the sixth time in his career ) , an italian jew , master con man , and aspiring waiter extraordinaire although prior to this turning point benigni plays guido with a sort of goofy charm , he relaxes the role to ensure his son's happiness benigni's performance is truly a well rounded one , and certainly one of the more fluid turns all year","0.0","-51.6378097534"
"living in 1930's italy , he lives a carefree life of good fortune   it is made even better when he happens upon a pretty schoolteacher named dora ( nicoletta braschi )","0.0","-101.615325928"
"although dora is already engaged , guido manages to sweep her off her feet and persuades her to marry him instead   the two have a child named joshua ( giorgio cantarini )","0.0","-94.3032836914"
"working in the motion picture industry must be a constant source of frustration for a front line african american actress like jada pinkett smith","1.0","74.9461212158"
"the film offers a few funny ( albeit juvenile ) moments and the on screen relationship between pinkett smith's woo and tommy davidson's tim is appealing on those rare occasions when the two aren't forced to play it dumb for the sake of an endless barrage of cheap gags","1.0","10.9581260681"
"guido , dora , and their 5 year old son , giosue ?","1.0","58.9265060425"
"( giorgio cantarini ) are a happy family","0.0","-13.2536277771"
"young einstein sprang from the twisted mind of yahoo serious , who not only wrote , produced , edited , and directed the film , but also starred and did his own stunts  his creation is about as stupid and contrived as you'd expect from someone named yahoo  yahoo plays einstein as a naive and unrefined country hick  a clown with an insatiable curiosity  although yahoo's performance is at first endearing , the one dimensional characterization loses its novelty faster than you can say e mc2  yahoo has created a charming family for albert , and the scenes on tasmania are often clever  yahoo must be an mtv addict because his movie features an omnipresent soundtrack   unfortunately , the music is altogether gratuitous and quickly becomes overbearing  the instrumental score , on the other hand , is generally playful   yahoo uses such classics as the   1812 overture   and the theme from the good , the bad and the ugly to great comic effect","0.0","-50.624206543"
"one of the contributors to the destruction of the batman film franchise chris o'donnell stars in this remake of buster keaton's 1925 silent film seven chances  o'donnell plays jimmie shannon , the manager of a pool table manufacturing company  it's just chris o'donnell running from 100 , 000 obnoxious , greedy , angry and stupid women  apparently there was even more footage of the gang of brides chasing o'donnell around the city , and at one point o'donnell is leaping from the tops of buses","0.0","-56.5128974915"
"one of the contributors to the destruction of the batman film franchise chris o'donnell stars in this remake of buster keaton's 1925 silent film seven chances  now i've never seen seven chances , as i'm more of a chaplin fan than a keaton fan , but i seriously doubt that the classic version could be as insipid as this","1.0","14.8228149414"
"now i've never seen seven chances , as i'm more of a chaplin fan than a keaton fan , but i seriously doubt that the classic version could be as insipid as this","0.0","-17.1386890411"
"he also fears commitment , and despite dating anne ( renee zellweger ) for over three years , he's unwilling to marry her  i'd marry renee zellweger in a second )","1.0","3.47090744972"
"jimmie's grandfather ( peter ustinov , completely wasted ) dies and leaves jimmie his entire estate of 100 million dollars as well as ownership of the pool table business  ustinov's character left a video will , and while he's reading the ridiculous clause in it , i thought to myself   what is this , brewster's millions ?","0.0","-109.392333984"
"","0.0","-0.676642715931"
"in   the astronaut's wife ,   charlize theron plays a young woman with a nervous demeanor , pixie hairdo and demon spawn unwittingly growing in her belly","0.0","-90.4764251709"
"ok , maybe   the astronaut's wife   deviates from   rosemary's baby   turf for its set up , which finds our heroine terrorized not by satan's minions but her possessed husband ( johnny depp ) , a shuttle pilot whose mission mishap leaves him , um , a changed man","0.0","-36.2968292236"
"this bodes horribly for each dramatic development , like the surfacing of a suspicious nasa official (   speed   's joe morton ) to instigate jill's slow and stupid comprehension of the truth","1.0","46.7576293945"
"jay and silent bob strike back , kevin smith's swan song to his two most famous characters , is the best received comedy that i've seen since there's something about mary , which is a tea party in comparison to the foul mouthed humor in jay and silent bob strike back  )in one of the fastest paced movies of the year , the story has jay and silent bob ( jason mewes and kevin smith ) , a pair of card carrying drug dealers , traveling from their new jersey convenience store home to hollywood so that they can stop a movie granted , it's not the movie for everyone , but , if you like kevin smith's brand of humor , you'll find that this is his best","0.0","-37.3316955566"
"the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter )","0.0","-49.0470657349"
"the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter )","0.0","-49.0470657349"
"the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter )","0.0","-49.0470657349"
"the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter )","0.0","-49.0470657349"
"in   twilight ,   a ex alcoholic , ex cop , ex husband , ex private eye , harry ross ( paul newman ) , works for a pair of aging hollywood actors , catherine ( susan sarandon ) and jack ames ( gene hackman )  newman     twilight   wants to be character driven like   nobody's fool   ( also directed by benton , also starring newman , based on a novel by russo ) was , but the tired script gives the actors too little to work with","1.0","15.12981987"
"in   twilight ,   a ex alcoholic , ex cop , ex husband , ex private eye , harry ross ( paul newman ) , works for a pair of aging hollywood actors , catherine ( susan sarandon ) and jack ames ( gene hackman )  hackman","1.0","14.7362442017"
"in   twilight ,   a ex alcoholic , ex cop , ex husband , ex private eye , harry ross ( paul newman ) , works for a pair of aging hollywood actors , catherine ( susan sarandon ) and jack ames ( gene hackman )  sarandon","1.0","16.0166969299"
"twilight   also squanders a fine supporting cast   stockard channing ( harry's friend on the police force ) , reese witherspoon ( jack   catherine's bratty kid ) , giancarlo esposito ( the humorous sidekick ) , john spencer ( harry's nemesis on the force ) , liev schreiber and margo martindale ( the blackmailers ) , and james garner ( a cop who bailed movie stars out of trouble )","0.0","-34.1857910156"
"twilight   also squanders a fine supporting cast   stockard channing ( harry's friend on the police force ) , reese witherspoon ( jack   catherine's bratty kid ) , giancarlo esposito ( the humorous sidekick ) , john spencer ( harry's nemesis on the force ) , liev schreiber and margo martindale ( the blackmailers ) , and james garner ( a cop who bailed movie stars out of trouble )","0.0","-34.1857910156"
"would you believe    in real life , i mean    that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta jones ?","1.0","56.0747947693"
"let me tell you what reality is  reality is that you are megastar julia fricking roberts and your brother is eric roberts , and he picks up whatever crumbs of stardom fall off your coattails as you blaze across the sky in a golden chariot  america's sweethearts is the opposite of reality , a train wreck that tries to sell julia as a scruffy also ran , presumably because she wears horn rimmed glasses and used to be overweight ( uh huh )  ) and did i mention gwen's sister kiki ( roberts ) is along for the ride ?","0.0","-42.4587631226"
"and that she and eddie just might fall in love along the way ?","0.0","-12.0324811935"
"oh billy , you're a scamp !","0.0","-26.0656986237"
"the script you've co written with peter tolan ( what planet are you from ?","0.0","-37.6162185669"
"and bedazzled    need i say more ? )","1.0","8.59986209869"
"is a roast of hollywood and celebrity , sure , but it's not a funny one  aside from a scant few zingers ( yeah , se ?","0.0","-77.9262237549"
"or winces rules ! )","0.0","-15.106678009"
", america's sweethearts' jokes aren't funny , its pace is choppy , and the whole affair comes off as a vanity project    not for headlining star julia roberts    but for billy crystal to deliver a bunch of lame punch lines that he wrote himself  julia overcame a lot of spiteful writing and acting to make my best friend's wedding into a winning film , but not even that 90 tooth smile can save her here","0.0","-99.8868942261"
"would you believe    in real life , i mean    that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta jones ?","1.0","56.0747947693"
"let me tell you what reality is  the plot follows two married , mega movie stars , gwen and eddie ( zeta jones and poor , poor john cusack , whose material gets worse every year ) , on the eve of their new star vehicle's release , a film called time over time","0.0","-82.47706604"
"the plot follows two married , mega movie stars , gwen and eddie ( zeta jones and poor , poor john cusack , whose material gets worse every year ) , on the eve of their new star vehicle's release , a film called time over time","0.0","-74.7967987061"
"veteran pr agent lee ( billy crystal ) is called upon to clean up the mess , throwing a press junket in the nevada desert to woo them with the story of a possible reconciliation between the gwen and eddie , presumably distracting the stupid , stupid film critics into forgetting they haven't seen the movie at all  ) and did i mention gwen's sister kiki ( roberts ) is along for the ride ?","0.0","-82.0730133057"
"and that she and eddie just might fall in love along the way ?","0.0","-12.0324811935"
"oh billy , you're a scamp !","0.0","-26.0656986237"
"the script you've co written with peter tolan ( what planet are you from ?","0.0","-37.6162185669"
"and bedazzled    need i say more ? )","1.0","8.59986209869"
"is a roast of hollywood and celebrity , sure , but it's not a funny one  yes , crystal tells us , hollywood is lying to our faces !","1.0","49.9227600098"
"if you are surprised by this , you might want to check on your subscription to people magazine  aside from a scant few zingers ( yeah , se ?","0.0","-75.6618041992"
"or winces rules ! )","0.0","-15.106678009"
", america's sweethearts' jokes aren't funny , its pace is choppy , and the whole affair comes off as a vanity project    not for headlining star julia roberts    but for billy crystal to deliver a bunch of lame punch lines that he wrote himself  i didn't time it ( the movie's not that bad ) , but it's crystal who really has the most screen time and is the unequivocal focus of the film  bad move , billy    your jokes suck","0.0","-109.32472229"
